Territory	Standard VAT rate (%)
Isle of Man (Last reviewed 31 July 2025)	20
Israel (Last reviewed 02 August 2025)	18
Italy (Last reviewed 05 September 2025)	22
Ivory Coast (Côte d'Ivoire) (Last reviewed 20 November 2024)	18
Jamaica (Last reviewed 12 August 2025)	General Consumption Tax (GCT): 15
Japan (Last reviewed 02 July 2025)	Consumption tax: 10
Jersey, Channel Islands (Last reviewed 30 June 2025)	Goods and Services Tax (GST): 5
Jordan (Last reviewed 13 August 2025)	Sales tax: 16
Kazakhstan (Last reviewed 30 May 2025)	12
Kenya (Last reviewed 05 August 2025)	16
Korea, Republic of (Last reviewed 25 July 2025)	10
Kosovo (Last reviewed 11 September 2025)	18
Kuwait (Last reviewed 30 June 2025)	NA
Lao PDR (Last reviewed 14 August 2025)	10
Latvia (Last reviewed 03 July 2025)	21
Lebanon (Last reviewed 30 June 2025)	11
Liberia, Republic of (Last reviewed 02 September 2025)	Goods and services tax (GST): 12
Libya (Last reviewed 01 June 2025)	NA
Liechtenstein (Last reviewed 17 June 2025)	8.1
Lithuania (Last reviewed 05 March 2025)	21
Luxembourg (Last reviewed 29 July 2025)	17
Macau SAR (Last reviewed 09 June 2025)	NA
Madagascar (Last reviewed 26 March 2025)	20
Malaysia (Last reviewed 07 July 2025)	Sales tax: 10;
Service tax: 8
Malta (Last reviewed 27 August 2025)	18
Mauritania (Last reviewed 18 July 2024)	16
Mauritius (Last reviewed 30 June 2025)	15
Mexico (Last reviewed 31 July 2025)	16
Moldova (Last reviewed 02 July 2025)	20
Mongolia (Last reviewed 02 July 2025)	10
Montenegro (Last reviewed 15 July 2025)	21
Morocco (Last reviewed 13 March 2025)	20
Mozambique (Last reviewed 17 July 2025)	16
Myanmar (Last reviewed 03 June 2025)	There is no VAT in Myanmar. The indirect tax in Myanmar is commercial tax, with the general rate of 5%.
Namibia, Republic of (Last reviewed 06 July 2025)	15
Netherlands (Last reviewed 07 July 2025)	21
New Caledonia (Last reviewed 25 July 2025)	General consumption tax (TGC): 11
New Zealand (Last reviewed 09 July 2025)	Goods and services tax (GST): 15
Nicaragua (Last reviewed 16 July 2025)	15
Nigeria (Last reviewed 14 April 2025)	7.5
North Macedonia (Last reviewed 24 August 2025)	18
Norway (Last reviewed 09 September 2025)	25
Oman (Last reviewed 31 August 2025)	5 (subject to specific exemptions and zero ratings prescribed under the Oman VAT Law)
Pakistan (Last reviewed 04 August 2025)	For goods:18
For services: Ranges from 15% to 16% depending on the province.
Palestinian territories (Last reviewed 21 July 2025)	16
Panama (Last reviewed 19 August 2025)	Movable goods and services transfer tax: 7
Papua New Guinea (Last reviewed 16 June 2025)	Goods and services tax: 10
Paraguay (Last reviewed 16 July 2025)	10 (5% for sale and rent of immovables, some medicines, and agricultural, horticultural, and fruit products)
Peru (Last reviewed 15 July 2025)	18
Philippines (Last reviewed 13 September 2025)	12
Poland (Last reviewed 20 July 2025)	23
Portugal (Last reviewed 09 July 2025)	23
Puerto Rico (Last reviewed 30 June 2025)	Sales and use tax: 11.5% for tangible personal property and certain services; 4% for business-to-business services and designated services.
Qatar (Last reviewed 06 March 2025)	NA
Romania (Last reviewed 14 May 2025)	19
Rwanda (Last reviewed 28 July 2025)	18
Saint Lucia (Last reviewed 17 February 2025)	12.5
Saudi Arabia (Last reviewed 20 August 2025)	15 (5% prior to 1 July 2020)
Senegal (Last reviewed 19 July 2024)	18
Serbia (Last reviewed 15 July 2025)	20
Singapore (Last reviewed 29 July 2025)	Goods and services tax: 9
Slovak Republic (Last reviewed 06 February 2025)	23
Slovenia (Last reviewed 27 June 2025)	22
South Africa (Last reviewed 30 May 2025)	15
Spain (Last reviewed 30 June 2025)	21
Sweden (Last reviewed 15 August 2025)	25
Switzerland (Last reviewed 15 July 2025)	8.1
Taiwan (Last reviewed 03 July 2025)	5% to general industries
Tanzania (Last reviewed 20 January 2025)	Tanzania Mainland: 18%; 16% (for B2C purchases where payments are made via bank or an approved electronic payment system from 1 September 2025)

Tanzania Zanzibar: 18% for banking, postal and telecommunication services; 15% for all other supplies
Thailand (Last reviewed 30 June 2025)	7
Timor-Leste (Last reviewed 29 July 2025)	Sales tax on imported goods: 2.5;
Sales tax on other goods: 0
Trinidad and Tobago (Last reviewed 31 January 2025)	12.5
Tunisia (Last reviewed 15 August 2025)	19
Turkey (Last reviewed 11 September 2025)	20
Uganda (Last reviewed 10 February 2025)	18
Ukraine (Last reviewed 18 July 2025)	20
United Arab Emirates (Last reviewed 26 August 2025)	5
United Kingdom (Last reviewed 01 July 2025)	20
United States (Last reviewed 15 August 2025)	NA
Uruguay (Last reviewed 21 August 2025)	22 (reduced 10% VAT rate applicable to certain goods and services).
Uzbekistan, Republic of (Last reviewed 06 September 2025)	12
Venezuela (Last reviewed 20 August 2025)	16
Vietnam (Last reviewed 26 March 2025)	10
Zambia (Last reviewed 02 June 2025)	16
